dataset,model_name,GPU_mem,error_rate,valid_loss,train_loss,fit_time
planet,swinv2_cr_tiny_ns_224,4.2265625,0.04852938652038563,0.11775274574756622,0.14721296727657318,43.17379795003217
planet,swinv2_cr_tiny_ns_224,3.767578125,0.042058765888214,0.11735780537128448,0.14855600893497467,32.64192268997431
planet,swinv2_cr_tiny_ns_224,3.37109375,0.04147058725357056,0.11041829735040665,0.1459340751171112,32.939704179007094
planet,swinv2_cr_small_ns_224,6.203125,0.03411757946014404,0.10599927604198456,0.14650361239910126,41.90415328601375
planet,swinv2_cr_small_ns_224,6.2109375,0.037352919578552246,0.10494807362556458,0.1441018283367157,41.694179483980406
planet,swinv2_cr_small_ns_224,5.400390625,0.03911757469177235,0.10988566279411316,0.14424552023410797,41.13433361798525
planet,swinv2_cr_small_224,6.1171875,0.04352933168411244,0.11822351813316344,0.14750006794929504,46.72779668000294
planet,swinv2_cr_small_224,6.130859375,0.04088234901428223,0.11581385880708694,0.14631138741970062,52.37471235200064
planet,swinv2_cr_small_224,5.310546875,0.03794121742248535,0.11378692835569382,0.14107559621334076,42.11834142898442
planet,swin_tiny_patch4_window7_224,3.65234375,0.04058814048767079,0.1149752214550972,0.1608739048242569,25.490773120021913
planet,swin_tiny_patch4_window7_224,3.21484375,0.045000016689300426,0.11746866255998611,0.16705547273159027,27.030418023990933
planet,swin_tiny_patch4_window7_224,2.81640625,0.04323524236679077,0.12170720100402832,0.15987040102481842,25.381707841006573
planet,swin_small_patch4_window7_224,6.037109375,0.042058765888214,0.11370134353637695,0.15367020666599274,44.07819259999087
planet,swin_small_patch4_window7_224,5.255859375,0.04058814048767079,0.1095324158668518,0.1527915745973587,40.37061075499514
planet,swin_small_patch4_window7_224,4.517578125,0.03647059202194203,0.10603494942188264,0.15237969160079956,36.9111888440093
planet,swin_s3_tiny_224,4.01953125,0.04235297441482544,0.11593546718358994,0.15696842968463898,27.897839368029963
planet,swin_s3_tiny_224,3.482421875,0.041764676570892445,0.11849144846200944,0.15410767495632172,25.526999920024537
planet,swin_s3_tiny_224,3.126953125,0.04323524236679077,0.11978533118963242,0.15605245530605316,33.294184978993144
planet,swin_s3_small_224,7.70703125,0.04441171884536743,0.12173924595117568,0.14961987733840942,38.38923569902545
planet,swin_s3_small_224,7.0234375,0.042352914810180775,0.11777101457118988,0.15440383553504944,54.432262624031864
planet,swin_s3_small_224,6.25390625,0.03999990224838257,0.11210981011390686,0.15136583149433136,38.4111212430289
planet,swin_s3_base_224,8.943359375,0.04441171884536743,0.11547248810529707,0.15237167477607727,63.80155781697249
planet,swin_s3_base_224,8.95703125,0.04441171884536743,0.12109505385160446,0.15218406915664673,59.47048403398367
planet,swin_s3_base_224,7.8828125,0.042352914810180775,0.11781641095876694,0.15354441106319427,57.146239638037514
planet,swin_large_patch4_window7_224_in22k,16.591796875,0.03911757469177235,0.10919401794672012,0.13487499952316284,57.295506286027376
planet,swin_large_patch4_window7_224_in22k,13.55078125,0.04147058725357056,0.11131372302770616,0.1378393918275833,52.29260677401908
planet,swin_large_patch4_window7_224_in22k,,0.12411767244338989,0.3978025019168854,0.4655080437660218,
planet,swin_large_patch4_window7_224,,0.1097058653831482,0.4070434272289276,0.5336981415748596,
planet,swin_large_patch4_window7_224,13.501953125,0.04029405117034923,0.11015225201845168,0.13902321457862854,55.65546907403041
planet,swin_large_patch4_window7_224,10.48046875,0.03970581293106079,0.10655292868614195,0.13875076174736023,57.72850759496214
planet,swin_base_patch4_window7_224_in22k,8.98828125,0.04117637872695923,0.11257220059633256,0.15030430257320404,37.54626158601605
planet,swin_base_patch4_window7_224_in22k,7.638671875,0.03911757469177235,0.1100403219461441,0.1466105580329895,40.45630890701432
planet,swin_base_patch4_window7_224_in22k,6.310546875,0.03970581293106079,0.10786392539739607,0.14600679278373718,51.947936278011184
planet,swin_base_patch4_window7_224,8.96484375,0.03705877065658558,0.1121423915028572,0.15538090467453003,49.06043417198816
planet,swin_base_patch4_window7_224,7.6015625,0.037941157817840576,0.1055234968662262,0.15349513292312622,38.262711591029074
planet,swin_base_patch4_window7_224,6.283203125,0.04088228940963756,0.11729366332292555,0.1539711207151413,39.97343525098404
planet,regnetz_e8,8.326171875,0.063235342502594,0.16083215177059174,0.16865691542625427,50.14550616899214
planet,regnetz_e8,7.423828125,0.06558823585510243,0.1606629192829132,0.1718081384897232,49.16205614499631
planet,regnetz_e8,7.423828125,0.06000000238418579,0.1592201143503189,0.1713918149471283,48.535540562996175
